time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-13 00:00:00+00:00,21,6,0,0
2026-05-14 00:00:00+00:00,27,7,9,2
2026-05-15 00:00:00+00:00,16,7,2,1
2026-05-16 00:00:00+00:00,12,6,0,0
2026-05-17 00:00:00+00:00,7,2,0,0
2026-05-18 00:00:00+00:00,19,6,1,1
2026-05-19 00:00:00+00:00,26,9,2,1
2026-05-20 00:00:00+00:00,21,8,0,0
2026-05-21 00:00:00+00:00,10,5,0,0
2026-05-22 00:00:00+00:00,28,8,0,0
2026-05-23 00:00:00+00:00,5,5,0,0
2026-05-24 00:00:00+00:00,10,4,0,0
2026-05-25 00:00:00+00:00,19,5,0,0
2026-05-26 00:00:00+00:00,23,10,1,1
