time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-10 00:00:00+00:00,13,7,0,0
2026-04-11 00:00:00+00:00,47,14,1,1
2026-04-12 00:00:00+00:00,31,12,0,0
2026-04-13 00:00:00+00:00,28,10,0,0
2026-04-14 00:00:00+00:00,9,3,0,0
2026-04-15 00:00:00+00:00,16,6,0,0
2026-04-16 00:00:00+00:00,12,5,0,0
2026-04-17 00:00:00+00:00,12,6,0,0
2026-04-18 00:00:00+00:00,26,9,0,0
2026-04-19 00:00:00+00:00,18,9,0,0
2026-04-20 00:00:00+00:00,46,22,0,0
2026-04-21 00:00:00+00:00,46,22,0,0
2026-04-22 00:00:00+00:00,64,27,0,0
2026-04-23 00:00:00+00:00,75,24,0,0
