time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-16 00:00:00+00:00,35,11,0,0
2026-06-17 00:00:00+00:00,15,6,0,0
2026-06-18 00:00:00+00:00,2,2,0,0
2026-06-19 00:00:00+00:00,42,8,1,1
2026-06-20 00:00:00+00:00,38,8,0,0
2026-06-21 00:00:00+00:00,28,7,0,0
2026-06-22 00:00:00+00:00,32,7,7,3
2026-06-23 00:00:00+00:00,16,7,0,0
2026-06-24 00:00:00+00:00,37,8,0,0
2026-06-25 00:00:00+00:00,33,10,0,0
2026-06-26 00:00:00+00:00,17,4,0,0
2026-06-27 00:00:00+00:00,19,8,0,0
2026-06-28 00:00:00+00:00,15,6,0,0
2026-06-29 00:00:00+00:00,14,5,5,1
