time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-17 00:00:00+00:00,7,2,0,0
2026-05-18 00:00:00+00:00,19,6,1,1
2026-05-19 00:00:00+00:00,26,9,2,1
2026-05-20 00:00:00+00:00,21,8,0,0
2026-05-21 00:00:00+00:00,10,5,0,0
2026-05-22 00:00:00+00:00,28,8,0,0
2026-05-23 00:00:00+00:00,5,5,0,0
2026-05-24 00:00:00+00:00,10,4,0,0
2026-05-25 00:00:00+00:00,19,5,0,0
2026-05-26 00:00:00+00:00,23,10,1,1
2026-05-27 00:00:00+00:00,24,12,13,1
2026-05-28 00:00:00+00:00,16,6,0,0
2026-05-29 00:00:00+00:00,15,6,0,0
2026-05-30 00:00:00+00:00,11,5,1,1
