time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-28 00:00:00+00:00,16,6,0,0
2026-05-29 00:00:00+00:00,15,6,0,0
2026-05-30 00:00:00+00:00,11,5,1,1
2026-05-31 00:00:00+00:00,15,7,0,0
2026-06-01 00:00:00+00:00,12,6,2,1
2026-06-02 00:00:00+00:00,18,8,1,1
2026-06-03 00:00:00+00:00,23,9,3,1
2026-06-04 00:00:00+00:00,11,5,1,1
2026-06-05 00:00:00+00:00,37,12,11,1
2026-06-06 00:00:00+00:00,17,7,0,0
2026-06-07 00:00:00+00:00,29,13,8,1
2026-06-08 00:00:00+00:00,19,9,0,0
2026-06-09 00:00:00+00:00,14,8,4,1
2026-06-10 00:00:00+00:00,14,6,1,1
